name,description,field_type,mode
session_traffic_source_last_click.cm360_campaign.placement_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.rendering_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.site_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.site_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cm360_campaign.source,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.default_channel_group,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.medium,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.primary_channel_group,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.source,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.cross_channel_campaign.source_platform,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.dv360_campaign.advertiser_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.advertiser_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.creative_format,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.creative_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.creative_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.exchange_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.exchange_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.insertion_order_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.insertion_order_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.line_item_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.line_item_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.medium,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.partner_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.partner_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.dv360_campaign.source,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.google_ads_campaign.account_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign.ad_group_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign.ad_group_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.google_ads_campaign.customer_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.manual_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.content,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.creative_format,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.marketing_tactic,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.medium,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.source,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.source_platform,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.manual_campaign.term,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign,データの発生元や流入元。,RECORD,NULLABLE
session_traffic_source_last_click.sa360_campaign.ad_group_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.ad_group_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.campaign_id,一意に識別するためのID。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.campaign_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.creative_format,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.engine_account_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.engine_account_type,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.manager_account_name,名前やラベルを表すフィールド。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.medium,データの発生元や流入元。,STRING,NULLABLE
session_traffic_source_last_click.sa360_campaign.source,データの発生元や流入元。,STRING,NULLABLE
traffic_source,データの発生元や流入元。,RECORD,NULLABLE
traffic_source.medium,データの発生元や流入元。,STRING,NULLABLE
traffic_source.name,名前やラベルを表すフィールド。,STRING,NULLABLE
traffic_source.source,データの発生元や流入元。,STRING,NULLABLE
user_ltv,構造化された複数フィールドの集合。,RECORD,NULLABLE
user_ltv.currency,文字列型のフィールド。,STRING,NULLABLE
user_ltv.revenue,収益の金額（通貨単位は文脈による）,FLOAT,NULLABLE
